,Store Name,Age,Comments Count,average rate,Positive Rating,Negative Rating,Last month,Last3Month,Last6Month,Last Year
0,רשת MDK ,20,1591,5.0,1332,237,3,7,8,18
1,ביימקס BuyMax ,6,896,5.0,894,1,10,21,47,113
2,רוק פתרונות טכניים ,9,803,5.0,791,5,2,10,22,54
3,בטר שופ ,7,779,5.0,778,1,9,32,50,105
4,אל סי דיל ,15,705,5.0,660,43,0,2,8,32
5,פליימק ,9,654,5.0,641,11,7,14,22,45
6,רואים עולם ,21,563,5.0,539,22,3,14,14,21
7,שיפ שופ ,10,537,5.0,533,4,10,23,38,106
8,יו אס אקספורט ,17,530,5.0,524,5,3,8,8,20
9,יגל ליבינג וול בע מ ,16,504,5.0,485,18,0,2,7,9
10,No Risk ,11,504,5.0,468,32,0,1,2,2
11,קאמרה ישראל ,21,465,5.0,323,135,0,0,0,1
12,y not ,10,457,5.0,436,17,3,5,8,11
13,רשת רדיו אלקטריק ,18,433,5.0,394,37,6,6,14,17
14,vipmobile ,12,412,5.0,324,84,3,3,3,5
15,סנסנטר ,10,404,5.0,376,23,1,4,6,8
16,שישר טכנולוגיות ,12,396,5.0,377,17,0,0,0,5
17,pc2 co il ,14,385,5.0,326,55,0,0,0,1
18,פונטייפ בע מ ,18,376,5.0,354,20,1,4,9,20
19,טריפל אס ,10,376,5.0,372,3,5,5,7,29
20,אופק חדש ,12,367,5.0,367,0,1,2,2,3
21,ענק השעונים ,12,350,5.0,337,12,1,3,4,27
22,Telyacom ,18,347,5.0,325,20,1,4,6,9
23,שיווק ישיר ,14,332,5.0,320,11,0,0,0,1
24,מורס פי סי ,17,316,5.0,308,7,0,1,2,3
25,סליפ In ,10,311,5.0,291,13,1,4,6,8
26,ברנרד ,15,294,5.0,292,1,3,9,15,26
27,רגעים ,6,292,5.0,291,1,6,11,20,32
28,אופטיסטור ,9,285,5.0,282,2,0,0,1,6
29,פי סי מרקט ,20,280,5.0,279,1,2,4,12,23
30,bikesonline ,5,274,5.0,272,2,0,1,14,49
31,רק מזרנים ,13,272,5.0,271,1,0,1,2,14
32,צ יקו חשמל וריהוט ,17,264,5.0,242,21,0,0,0,2
33,טופדיל ,7,259,5.0,258,1,6,18,28,51
34,מרכז החשמל ירושלים ,10,255,5.0,217,34,0,1,2,16
35,BrandsOnSale ,6,252,5.0,252,0,2,10,31,60
36,טונר סופליי ,12,250,5.0,250,0,1,6,14,27
37,דיו פלוס ,14,248,5.0,240,8,5,14,15,25
38,HeadSound ,8,247,5.0,235,10,1,3,4,7
39,הום אלקטריק ,8,243,5.0,243,0,1,6,8,11
40,איקס באי ,16,237,5.0,207,28,0,6,10,10
41,קוביל ,9,228,5.0,219,8,0,5,9,20
42,אטלס טולס ,13,214,5.0,208,5,0,0,0,1
43,תוכי ,19,213,5.0,179,31,0,0,0,2
44,סאלי אלקטריק ,8,208,5.0,192,15,0,5,6,16
