,Store Name,Age,Comments Count,Positive Rating,Negative Rating,Last month,Last3Month,Last6Month,Last Year
0,רשת MDK ,20.0,1591.0,1332.0,237.0,3.0,7.0,8.0,18.0
1,ביימקס BuyMax ,6.0,896.0,894.0,1.0,10.0,21.0,47.0,113.0
2,רוק פתרונות טכניים ,9.0,803.0,791.0,5.0,2.0,10.0,22.0,54.0
3,בטר שופ ,7.0,779.0,778.0,1.0,9.0,32.0,50.0,105.0
4,אל סי דיל ,15.0,705.0,660.0,43.0,0.0,2.0,8.0,32.0
5,פליימק ,9.0,654.0,641.0,11.0,7.0,14.0,22.0,45.0
6,רואים עולם ,21.0,563.0,539.0,22.0,3.0,14.0,14.0,21.0
7,שיפ שופ ,10.0,537.0,533.0,4.0,10.0,23.0,38.0,106.0
8,יו אס אקספורט ,17.0,530.0,524.0,5.0,3.0,8.0,8.0,20.0
9,יגל ליבינג וול בע מ ,16.0,504.0,485.0,18.0,0.0,2.0,7.0,9.0
10,No Risk ,11.0,504.0,468.0,32.0,0.0,1.0,2.0,2.0
11,קאמרה ישראל ,21.0,465.0,323.0,135.0,0.0,0.0,0.0,1.0
12,y not ,10.0,457.0,436.0,17.0,3.0,5.0,8.0,11.0
13,רשת רדיו אלקטריק ,18.0,433.0,394.0,37.0,6.0,6.0,14.0,17.0
14,vipmobile ,12.0,412.0,324.0,84.0,3.0,3.0,3.0,5.0
15,סנסנטר ,10.0,404.0,376.0,23.0,1.0,4.0,6.0,8.0
16,שישר טכנולוגיות ,12.0,396.0,377.0,17.0,0.0,0.0,0.0,5.0
17,pc2 co il ,14.0,385.0,326.0,55.0,0.0,0.0,0.0,1.0
18,פונטייפ בע מ ,18.0,376.0,354.0,20.0,1.0,4.0,9.0,20.0
19,טריפל אס ,10.0,376.0,372.0,3.0,5.0,5.0,7.0,29.0
20,אופק חדש ,12.0,367.0,367.0,0.0,1.0,2.0,2.0,3.0
21,ענק השעונים ,12.0,350.0,337.0,12.0,1.0,3.0,4.0,27.0
22,Telyacom ,18.0,347.0,325.0,20.0,1.0,4.0,6.0,9.0
23,שיווק ישיר ,14.0,332.0,320.0,11.0,0.0,0.0,0.0,1.0
24,מורס פי סי ,17.0,316.0,308.0,7.0,0.0,1.0,2.0,3.0
25,סליפ In ,10.0,311.0,291.0,13.0,1.0,4.0,6.0,8.0
26,ברנרד ,15.0,294.0,292.0,1.0,3.0,9.0,15.0,26.0
27,רגעים ,6.0,292.0,291.0,1.0,6.0,11.0,20.0,32.0
28,אופטיסטור ,9.0,285.0,282.0,2.0,0.0,0.0,1.0,6.0
29,פי סי מרקט ,20.0,280.0,279.0,1.0,2.0,4.0,12.0,23.0
30,bikesonline ,5.0,274.0,272.0,2.0,0.0,1.0,14.0,49.0
31,רק מזרנים ,13.0,272.0,271.0,1.0,0.0,1.0,2.0,14.0
32,צ יקו חשמל וריהוט ,17.0,264.0,242.0,21.0,0.0,0.0,0.0,2.0
33,טופדיל ,7.0,259.0,258.0,1.0,6.0,18.0,28.0,51.0
34,מרכז החשמל ירושלים ,10.0,255.0,217.0,34.0,0.0,1.0,2.0,16.0
35,BrandsOnSale ,6.0,252.0,252.0,0.0,2.0,10.0,31.0,60.0
36,טונר סופליי ,12.0,250.0,250.0,0.0,1.0,6.0,14.0,27.0
37,דיו פלוס ,14.0,248.0,240.0,8.0,5.0,14.0,15.0,25.0
38,HeadSound ,8.0,247.0,235.0,10.0,1.0,3.0,4.0,7.0
39,הום אלקטריק ,8.0,243.0,243.0,0.0,1.0,6.0,8.0,11.0
40,איקס באי ,16.0,237.0,207.0,28.0,0.0,6.0,10.0,10.0
41,קוביל ,9.0,228.0,219.0,8.0,0.0,5.0,9.0,20.0
42,אטלס טולס ,13.0,214.0,208.0,5.0,0.0,0.0,0.0,1.0
43,תוכי ,19.0,213.0,179.0,31.0,0.0,0.0,0.0,2.0
44,סאלי אלקטריק ,8.0,208.0,192.0,15.0,0.0,5.0,6.0,16.0
45,מקניון ,17.0,199.0,199.0,0.0,1.0,2.0,11.0,16.0
46,IElectric ,2.0,199.0,196.0,2.0,0.0,2.0,8.0,52.0
47,FIX4U ,7.0,193.0,166.0,26.0,0.0,0.0,0.0,1.0
48,אל פסק ,12.0,192.0,188.0,4.0,1.0,6.0,13.0,23.0
49,פיסי4יו ,8.0,192.0,183.0,9.0,1.0,11.0,15.0,28.0
50,זול יותר ,15.0,190.0,174.0,15.0,0.0,0.0,11.0,16.0
51,לובן מור ,10.0,184.0,145.0,39.0,0.0,0.0,0.0,1.0
52,פ ר אלקטרוניקה ,10.0,183.0,181.0,0.0,1.0,2.0,3.0,4.0
53,סייל סנטר ,8.0,177.0,169.0,8.0,0.0,1.0,1.0,9.0
54,petcall כלטוב לחי ,11.0,177.0,175.0,2.0,2.0,7.0,15.0,31.0
55,מובייל און ליין ,3.0,172.0,172.0,0.0,0.0,6.0,17.0,53.0
56,סקופ איט ,2.0,172.0,172.0,0.0,8.0,22.0,29.0,58.0
57,Music Store Pro ,16.0,170.0,169.0,1.0,0.0,0.0,1.0,1.0
58,Hair360 ,15.0,168.0,165.0,3.0,0.0,1.0,1.0,1.0
59,ש ד י ברזים וקרמיקה ,15.0,161.0,148.0,13.0,1.0,1.0,3.0,7.0
60,חשמל לכולם ,2.0,158.0,157.0,1.0,6.0,23.0,45.0,79.0
61,הום גיים ,9.0,154.0,151.0,3.0,0.0,0.0,2.0,12.0
62,אלקטרו אשד ,16.0,153.0,148.0,5.0,0.0,2.0,3.0,3.0
63,מג יקל נוטס ,6.0,153.0,152.0,1.0,2.0,6.0,10.0,15.0
